,ISO3,Country,Year,Airports per one hundred thousand sq. km,Airports per one million inhabitants,Density of rail lines (km per one hundred sq. km),Density of road (km per one hundred sq. km),Inland waterways infrastructure investment in constant USD per inhabitant,Inland waterways infrastructure investment per GDP,Rail infrastructure investment in constant USD per inhabitant,Rail infrastructure investment per GDP,Road infrastructure investment in constant USD per inhabitant,Road infrastructure investment per GDP,Share of electrified rail lines in total rail network,Share of high-speed rail lines in total rail network,Share of inland waterways infrastructure investment in total inland transport infrastructure investment,Share of motorways in total road network,Share of rail infrastructure investment in total inland transport infrastructure investment,Share of road infrastructure investment in total inland transport infrastructure investment,Share of road infrastructure maintenance in total road infrastructure spending,Share of urban roads in total road network,Total inland transport infrastructure investment in constant USD per inhabitant,Total inland transport infrastructure investment per GDP
1141,RUS,Russian Federation,2018,,,0.52284716188136,6.5779999474869,0.39713489477225,0.00401206604552,30.678036844567,0.30992569927124,51.40889769258,0.51935978325023,51.212248616075,,0.48146860055207,0.12002556460982,37.19268103023,62.325850369218,,,82.484069431918,0.83329754856699
1142,RUS,Russian Federation,2019,,,0.52204114705679,,0.81495545972181,0.00805203620529,44.697985104016,0.44163124507907,44.918490405331,0.44380991220555,51.543967997754,,0.90118607102498,,49.427488457309,49.671325471666,,,90.431430969068,0.89349319348991
1143,RUS,Russian Federation,2020,,,0.52241362360451,,0.92640040308365,0.00938194313313,40.196047590934,0.40707779424474,52.680730394505,0.53351403467424,51.726959265969,,0.98760022741085,,42.8514771903,56.160922582289,,,93.803178388522,0.94997377205211
1144,RUS,Russian Federation,2021,,,0.52234645570246,,,,,,,,51.802581127841,,,,,,,,,
1145,SRB,"Serbia, Republic of",2000,,,4.3551337754402,,1.8454362110294,0.05779162320783,1.0881456543121,0.03407633559665,20.976213187517,0.6568904422786,31.399317406143,,7.7183271832718,,4.5510455104551,87.730627306273,30.363680742006,,23.909795052859,0.74875840108307
1146,SRB,"Serbia, Republic of",2001,,,4.3551337754402,,1.3087971824541,0.03828247299241,0.8475644404447,0.02479136052219,19.064286669724,0.55763264876892,31.399317406143,,6.1675645550808,,3.994055359465,89.838380085454,42.971698113208,,21.220648292622,0.62070648228352
1147,SRB,"Serbia, Republic of",2002,,,4.3551337754402,,2.7932087273461,0.07673070596875,1.2414261010427,0.03410253598611,27.866053970214,0.7654930950074,32.738251509583,,8.7559511488305,,3.8915338439247,87.352515007245,43.450586264657,,31.900688798603,0.87632633696226
1148,SRB,"Serbia, Republic of",2003,,,4.3551337754402,,2.3560570345369,0.06186971674329,0.9706602014946,0.02548939641109,32.28768797517,0.84787001334717,32.738251509583,,6.615460852329,,2.7254707631318,90.659068384539,37.213292913116,,35.614405211202,0.93522912650156
1149,SRB,"Serbia, Republic of",2004,3.4301394923394,0.40197466032136,4.3551337754402,,3.6920341717273,0.08871680188116,0.87256346746879,0.02096704328063,36.554955765271,0.87838806943787,32.738251509583,,8.9787798408488,,2.1220159151194,88.899204244032,49.861620166056,,41.119553404467,0.98807191459966
1150,SRB,"Serbia, Republic of",2005,3.4301394923394,0.40318413325289,4.3551337754402,,2.9098420019717,0.06605830934478,0.86341213501126,0.01960090818263,34.390993300352,0.78073341183804,32.922026778682,,7.6245234672833,,2.2623586025873,90.113117930129,59.85690024778,,38.164247437335,0.86639262936545
1151,SRB,"Serbia, Republic of",2006,3.4301394923394,0.40477259268584,4.3551337754402,44.789618111137,5.2938734565349,0.11389090296871,0.70755474539839,0.01522213356909,63.027783254253,1.3559619824463,32.922026778682,,7.6690336523618,0.95473923365583,1.0250077184316,91.305958629207,42.499951393074,,69.029211456186,1.4850750189841
1152,SRB,"Serbia, Republic of",2007,3.4301394923394,0.40641710940166,4.3551337754402,44.802195289275,3.7126798103578,0.07473760107755,0.34252719353248,0.00689519755434,63.934472365218,1.2870242883334,32.922026778682,,5.4606520354392,0.95447121273989,0.50379292373617,94.035555040825,42.522917920221,,67.989679369108,1.3686570869653
1153,SRB,"Serbia, Republic of",2008,3.4301394923394,0.40815093748189,4.3551337754402,45.945575120055,5.3643917878056,0.10177260719449,0.35158513744402,0.00667023168775,55.929221271443,1.0610825779153,32.922026778682,,8.7020432162281,1.157176985865,0.57033661619874,90.727620167573,46.643268382925,,61.645198196692,1.1695254167975
1154,SRB,"Serbia, Republic of",2009,3.4301394923394,0.40979088780786,4.3551337754402,50.690601417791,3.0560226036284,0.05936826854509,0.89724283947588,0.01743041880021,39.827800101923,0.77372056384784,32.922026778682,,6.9802380677222,1.1165245635404,2.049385569552,90.970376362726,50.719949916528,,43.781065545027,0.85051925119314
