Country,Species,Number of critically endangered indigenous species,Number of critically endangered species,Number of endangered indigenous species,Number of endangered species,Number of vulnerable indigenous species,Number of vulnerable species,Threatened indigenous species as % of indigenous spec.,Threatened species as % of known species,Total number of indigenous known species,Total number of indigenous threatened species,Total number of known species,Total number of threatened species
Spain,Reptiles,4.0,4.0,5.0,5.0,10.0,10.0,,18.269,,19.0,104.0,19.0
Spain,Vascular plants,240.0,240.0,202.0,202.0,439.0,439.0,,11.588,,881.0,7603.0,881.0
Sweden,Amphibians,,,0.0,0.0,5.0,5.0,38.462,38.462,13.0,5.0,13.0,5.0
Sweden,Birds,6.0,6.0,11.0,11.0,35.0,35.0,20.233,20.233,257.0,52.0,257.0,52.0
Sweden,Fish,6.0,6.0,6.0,6.0,8.0,8.0,14.184,14.184,141.0,20.0,141.0,20.0
Sweden,Freshwater Fish,,,1.0,1.0,1.0,1.0,4.762,4.762,42.0,2.0,42.0,2.0
Sweden,Mammals,5.0,5.0,3.0,3.0,6.0,6.0,21.538,21.538,65.0,14.0,65.0,14.0
Sweden,Marine Fish,6.0,6.0,6.0,6.0,7.0,7.0,19.0,19.0,100.0,19.0,100.0,19.0
Sweden,Reptiles,,,,,2.0,2.0,33.333,33.333,6.0,2.0,6.0,2.0
Sweden,Vascular plants,43.0,43.0,114.0,114.0,113.0,113.0,17.297,17.297,1561.0,270.0,1561.0,270.0
Switzerland,Amphibians,0.0,0.0,9.0,9.0,4.0,4.0,72.222,68.421,18.0,13.0,19.0,13.0
Switzerland,Birds,9.0,9.0,21.0,21.0,41.0,41.0,35.678,34.634,199.0,71.0,205.0,71.0
Switzerland,Fish,6.0,6.0,5.0,5.0,13.0,13.0,43.636,34.286,55.0,24.0,70.0,24.0
Switzerland,Freshwater Fish,6.0,6.0,5.0,5.0,13.0,13.0,43.636,34.286,55.0,24.0,70.0,24.0
Switzerland,Invertebrates,229.0,229.0,358.0,358.0,487.0,487.0,35.341,34.052,3039.0,1074.0,3154.0,1074.0
Switzerland,Lichens,45.0,45.0,96.0,96.0,116.0,116.0,36.045,36.045,713.0,257.0,713.0,257.0
Switzerland,Mammals,5.0,5.0,13.0,13.0,16.0,16.0,41.975,36.559,81.0,34.0,93.0,34.0
Switzerland,Mosses,61.0,61.0,58.0,58.0,282.0,282.0,40.302,40.261,995.0,401.0,996.0,401.0
Switzerland,Reptiles,3.0,3.0,7.0,7.0,5.0,5.0,78.947,78.947,19.0,15.0,19.0,15.0
Switzerland,Vascular plants,111.0,111.0,197.0,197.0,362.0,362.0,25.641,25.641,2613.0,670.0,2613.0,670.0
Turkey,Amphibians,,,,,,,,7.092,,,39.0,10.0
Turkey,Birds,,,,,,,,3.696,,,506.0,17.0
Turkey,Fish,,,,,,,,,,,716.0,
Turkey,Freshwater Fish,,,,,,,,,,,402.0,
Turkey,Invertebrates,,,,,,,,0.431,,,20636.0,89.0
Turkey,Lichens,,,,,,,,,,,1000.0,
Turkey,Mammals,,,,,,,,14.286,,,173.0,23.0
Turkey,Marine Fish,,,,,,,,,,,480.0,
Turkey,Reptiles,,,,,,,,,,,147.0,
Turkey,Vascular plants,,,,,,,,10.951,,,12145.0,1282.0
United Kingdom,Amphibians,1.0,1.0,1.0,1.0,,,,,9.0,2.0,15.0,2.0
United Kingdom,Birds,27.0,27.0,43.0,43.0,52.0,52.0,,21.864,,129.0,590.0,129.0
United Kingdom,Fish,7.0,,11.0,,24.0,,,,,42.0,622.0,
United Kingdom,Freshwater Fish,,,1.0,3.0,,1.0,,,,1.0,,4.0
United Kingdom,Invertebrates,82.0,82.0,118.0,118.0,202.0,202.0,,2.478,3226.0,402.0,36242.0,402.0
United Kingdom,Lichens,45.0,45.0,34.0,34.0,108.0,108.0,,6.609,,187.0,2875.0,187.0
United Kingdom,Mammals,2.0,2.0,4.0,4.0,5.0,5.0,,11.11,62.0,11.0,107.0,11.0
United Kingdom,Mosses,23.0,23.0,37.0,37.0,63.0,63.0,,15.28,,123.0,805.0,123.0
United Kingdom,Reptiles,,,2.0,2.0,,,,,8.0,2.0,15.0,2.0
United Kingdom,Vascular plants,42.0,42.0,110.0,110.0,214.0,214.0,,18.106,1932.0,366.0,4562.0,366.0
