Country,Species,Number of critically endangered indigenous species,Number of critically endangered species,Number of endangered indigenous species,Number of endangered species,Number of vulnerable indigenous species,Number of vulnerable species,Threatened indigenous species as % of indigenous spec.,Threatened species as % of known species,Total number of indigenous known species,Total number of indigenous threatened species,Total number of known species,Total number of threatened species
Germany,Reptiles,4.0,4.0,3.0,3.0,1.0,1.0,61.538,61.538,13.0,8.0,13.0,8.0
Germany,Vascular plants,212.0,212.0,378.0,378.0,820.0,820.0,30.332,27.384,3880.0,1410.0,4305.0,1410.0
Greece,Amphibians,1.0,1.0,2.0,2.0,3.0,3.0,27.273,26.087,22.0,6.0,23.0,6.0
Greece,Birds,14.0,14.0,17.0,17.0,31.0,31.0,17.664,14.091,351.0,62.0,440.0,62.0
Greece,Fish,19.0,19.0,16.0,16.0,28.0,28.0,10.483,9.474,601.0,63.0,665.0,63.0
Greece,Freshwater Fish,14.0,14.0,12.0,12.0,23.0,23.0,39.2,31.818,125.0,49.0,154.0,49.0
Greece,Mammals,3.0,3.0,13.0,13.0,13.0,13.0,25.664,25.217,113.0,29.0,115.0,29.0
Greece,Marine Fish,5.0,5.0,4.0,4.0,5.0,5.0,2.985,2.74,469.0,14.0,511.0,14.0
Greece,Reptiles,1.0,1.0,2.0,2.0,6.0,6.0,14.063,13.636,64.0,9.0,66.0,9.0
Greece,Vascular plants,,17.0,,64.0,,174.0,,4.359,5700.0,,5850.0,255.0
Hungary,Amphibians,,,1.0,1.0,1.0,1.0,11.111,11.111,18.0,2.0,18.0,2.0
Hungary,Birds,23.0,23.0,20.0,20.0,35.0,35.0,18.571,17.931,236.0,78.0,238.0,78.0
Hungary,Fish,,,,,,,,43.21,52.0,,81.0,35.0
Hungary,Freshwater Fish,,,,,,,,43.21,52.0,,81.0,35.0
Hungary,Invertebrates,9.0,9.0,7.0,7.0,8.0,8.0,27.586,27.586,87.0,24.0,87.0,24.0
Hungary,Lichens,24.0,24.0,44.0,44.0,45.0,45.0,15.804,15.804,715.0,113.0,715.0,113.0
Hungary,Mammals,5.0,5.0,3.0,3.0,6.0,6.0,18.421,16.092,76.0,14.0,87.0,14.0
Hungary,Mosses,20.0,20.0,90.0,90.0,63.0,63.0,26.332,26.252,657.0,173.0,659.0,173.0
Hungary,Reptiles,,,4.0,4.0,,,26.667,26.667,15.0,4.0,15.0,4.0
Hungary,Vascular plants,115.0,115.0,162.0,162.0,105.0,105.0,15.701,14.039,2433.0,382.0,2721.0,382.0
Iceland,Birds,,6.0,,11.0,,16.0,,44.0,,,75.0,33.0
Iceland,Freshwater Fish,,,,,,,,,,,5.0,
Iceland,Mammals,,,,,,,,,,,4.0,
Iceland,Vascular plants,,,,,,,,11.872,,,438.0,52.0
Ireland,Amphibians,,,1.0,1.0,,,33.333,33.333,3.0,1.0,3.0,1.0
Ireland,Birds,,,,37.0,,90.0,,26.569,478.0,,478.0,127.0
Ireland,Fish,,,,,,,,,391.0,,404.0,
Ireland,Freshwater Fish,1.0,1.0,,,4.0,4.0,33.333,17.857,15.0,5.0,28.0,5.0
Ireland,Invertebrates,28.0,28.0,51.0,51.0,100.0,100.0,,14.669,,179.0,1230.0,179.0
Ireland,Mammals,,,,,,1.0,,1.754,46.0,,57.0,1.0
Ireland,Marine Fish,6.0,6.0,5.0,5.0,6.0,6.0,4.521,4.521,376.0,17.0,376.0,17.0
Ireland,Mosses,,19.0,,30.0,,64.0,,18.96,,,596.0,113.0
Ireland,Reptiles,,,0.0,0.0,,,0.0,0.0,2.0,0.0,3.0,0.0
Ireland,Vascular plants,20.0,20.0,25.0,25.0,56.0,56.0,9.619,9.619,1050.0,101.0,1050.0,101.0
Israel,Amphibians,2.0,,3.0,,1.0,,85.714,,7.0,6.0,,
Israel,Birds,21.0,,13.0,,31.0,,30.516,,213.0,65.0,,
Israel,Fish,6.0,,0.0,,0.0,,18.75,,32.0,6.0,,
Israel,Freshwater Fish,6.0,,0.0,,0.0,,18.75,,32.0,6.0,,
Israel,Mammals,15.0,,27.0,,19.0,,58.095,,105.0,61.0,,
Israel,Reptiles,13.0,,7.0,,15.0,,33.333,,105.0,35.0,,
Israel,Vascular plants,67.0,,123.0,,184.0,,16.477,,2288.0,374.0,,
Italy,Amphibians,,0.0,,4.0,,10.0,,31.818,,,44.0,14.0
Italy,Birds,,10.0,,36.0,,21.0,,24.101,,,278.0,67.0
Italy,Fish,,21.0,,12.0,,14.0,,7.332,,,641.0,47.0
Italy,Freshwater Fish,,11.0,,6.0,,8.0,,25.773,,,97.0,25.0
Italy,Invertebrates,,88.0,,136.0,,232.0,,0.778,,,58632.0,456.0
Italy,Lichens,,,,,,,,5.658,,,2704.0,153.0
Italy,Mammals,,2.0,,8.0,,13.0,,18.254,,,126.0,23.0
Italy,Marine Fish,,10.0,,6.0,,6.0,,4.044,,,544.0,22.0
Italy,Mosses,,,,,,,,20.274,,,1209.0,237.0
Italy,Reptiles,,1.0,,5.0,,5.0,,19.643,,,56.0,11.0
Italy,Vascular plants,,193.0,,269.0,,169.0,,6.748,,,8195.0,631.0
Japan,Amphibians,,20.0,,5.0,,22.0,,38.158,,,91.0,47.0
Japan,Birds,,31.0,,24.0,,43.0,,14.0,,,700.0,98.0
Japan,Fish,,60.0,,79.0,,46.0,,4.302,,,4300.0,185.0
Japan,Freshwater Fish,,54.0,,71.0,,44.0,,42.25,,,400.0,169.0
Japan,Invertebrates,,22.0,,22.0,,43.0,,1.226,,,5300.0,65.0
Japan,Lichens,,43.0,,41.0,,20.0,,3.813,,,1600.0,63.0
Japan,Mammals,,13.0,,12.0,,9.0,,20.625,,,160.0,34.0
Japan,Marine Fish,,6.0,,8.0,,2.0,,0.41,,,3900.0,16.0
Japan,Mosses,,137.0,,138.0,,103.0,,13.389,,,1800.0,240.0
Japan,Reptiles,,9.0,,5.0,,23.0,,37.0,,,100.0,37.0
Japan,Vascular plants,,520.0,,529.0,,741.0,,25.514,,,7000.0,1790.0
Korea,Amphibians,0.0,0.0,2.0,2.0,0.0,3.0,,25.0,6.0,2.0,21.0,5.0
Korea,Birds,0.0,7.0,0.0,18.0,0.0,29.0,,10.436,1.0,0.0,527.0,54.0
Korea,Fish,4.0,4.0,9.0,13.0,4.0,7.0,,2.031,66.0,17.0,1290.0,24.0
Korea,Freshwater Fish,4.0,4.0,9.0,13.0,4.0,7.0,,12.871,66.0,17.0,202.0,24.0
Korea,Invertebrates,6.0,24.0,13.0,43.0,37.0,137.0,,0.769,1716.0,56.0,27568.0,204.0
Korea,Lichens,,,,,,,,,,,1133.0,
Korea,Mammals,0.0,1.0,0.0,4.0,0.0,9.0,,11.2,1.0,0.0,125.0,14.0
Korea,Marine Fish,,,,,,,,,,,1088.0,
Korea,Mosses,,,,,,,,,,,925.0,
Korea,Reptiles,0.0,0.0,0.0,1.0,0.0,4.0,,15.625,0.0,0.0,32.0,5.0
Korea,Vascular plants,9.0,28.0,20.0,86.0,15.0,110.0,,4.958,457.0,44.0,4552.0,224.0
Latvia,Amphibians,1.0,1.0,1.0,1.0,1.0,2.0,23.077,30.769,13.0,3.0,13.0,4.0
Latvia,Birds,4.0,4.0,19.0,19.0,16.0,16.0,16.883,16.738,231.0,39.0,233.0,39.0
Latvia,Fish,1.0,1.0,0.0,0.0,1.0,1.0,2.778,2.299,72.0,2.0,87.0,2.0
Latvia,Freshwater Fish,,,0.0,0.0,1.0,1.0,2.222,2.222,45.0,1.0,45.0,1.0
Latvia,Invertebrates,7.0,7.0,38.0,38.0,34.0,34.0,0.465,0.462,17000.0,79.0,17100.0,79.0
Latvia,Lichens,2.0,2.0,18.0,18.0,4.0,4.0,3.493,3.493,687.0,24.0,687.0,24.0
Latvia,Mammals,0.0,0.0,3.0,3.0,2.0,2.0,9.259,8.065,54.0,5.0,62.0,5.0
Latvia,Marine Fish,1.0,1.0,0.0,0.0,,,3.704,2.381,27.0,1.0,42.0,1.0
Latvia,Mosses,3.0,3.0,41.0,41.0,17.0,17.0,10.912,10.893,559.0,61.0,560.0,61.0
Latvia,Reptiles,1.0,1.0,1.0,1.0,0.0,0.0,28.571,28.571,7.0,2.0,7.0,2.0
Latvia,Vascular plants,16.0,16.0,110.0,110.0,83.0,83.0,16.028,10.79,1304.0,209.0,1937.0,209.0
Lithuania,Amphibians,,,1.0,1.0,3.0,3.0,15.385,15.385,13.0,4.0,13.0,4.0
Lithuania,Birds,19.0,19.0,17.0,17.0,20.0,20.0,15.217,14.396,368.0,56.0,389.0,56.0
Lithuania,Fish,3.0,3.0,0.0,0.0,2.0,2.0,5.882,4.762,85.0,5.0,105.0,5.0
Lithuania,Freshwater Fish,2.0,2.0,0.0,0.0,2.0,2.0,11.111,7.407,36.0,4.0,54.0,4.0
Lithuania,Invertebrates,13.0,13.0,54.0,54.0,22.0,22.0,,0.356,,89.0,25000.0,89.0
Lithuania,Lichens,24.0,24.0,16.0,16.0,3.0,3.0,,17.2,,43.0,250.0,43.0
Lithuania,Mammals,,,3.0,3.0,4.0,4.0,11.864,10.294,59.0,7.0,68.0,7.0
Lithuania,Marine Fish,1.0,1.0,0.0,0.0,0.0,0.0,2.041,1.961,49.0,1.0,51.0,1.0
Lithuania,Mosses,9.0,9.0,13.0,13.0,26.0,26.0,,10.213,,48.0,470.0,48.0
Lithuania,Reptiles,,,1.0,1.0,1.0,1.0,28.571,28.571,7.0,2.0,7.0,2.0
Lithuania,Vascular plants,23.0,23.0,66.0,66.0,41.0,41.0,16.539,9.745,786.0,130.0,1334.0,130.0
Luxembourg,Amphibians,,2.0,,1.0,,1.0,,28.571,,,14.0,4.0
Luxembourg,Birds,,7.0,,8.0,,11.0,,19.847,,,131.0,26.0
Luxembourg,Fish,3.0,3.0,1.0,1.0,8.0,8.0,44.444,27.907,27.0,12.0,43.0,12.0
Luxembourg,Freshwater Fish,3.0,3.0,1.0,1.0,8.0,8.0,44.444,27.907,27.0,12.0,43.0,12.0
Luxembourg,Invertebrates,,7.0,,7.0,,9.0,,15.436,,,149.0,23.0
Luxembourg,Reptiles,,0.0,,0.0,,2.0,,33.333,,,6.0,2.0
Luxembourg,Vascular plants,121.0,121.0,124.0,124.0,109.0,109.0,29.378,26.757,1205.0,354.0,1323.0,354.0
Mexico,Amphibians,0.0,0.0,13.0,15.0,36.0,43.0,16.667,12.349,267.0,49.0,413.0,58.0
Mexico,Birds,12.0,18.0,51.0,96.0,34.0,127.0,42.708,20.859,238.0,97.0,1117.0,241.0
Mexico,Fish,3.0,14.0,44.0,85.0,30.0,76.0,,6.298,,77.0,2763.0,175.0
Mexico,Freshwater Fish,3.0,13.0,39.0,74.0,28.0,65.0,46.713,30.693,289.0,70.0,505.0,152.0
Mexico,Invertebrates,1.0,1.0,20.0,24.0,18.0,26.0,,,,39.0,,51.0
Mexico,Mammals,7.0,9.0,20.0,50.0,55.0,91.0,51.852,26.773,162.0,82.0,564.0,150.0
Mexico,Marine Fish,0.0,0.0,0.0,1.0,0.0,2.0,,,,0.0,2224.0,3.0
Mexico,Mosses,0.0,0.0,0.0,0.0,0.0,2.0,,,77.0,0.0,1000.0,2.0
Mexico,Reptiles,0.0,0.0,18.0,28.0,94.0,142.0,21.415,17.314,522.0,112.0,953.0,170.0
Mexico,Vascular plants,5.0,6.0,130.0,220.0,214.0,350.0,2.297,2.189,11551.0,349.0,23296.0,576.0
Netherlands,Amphibians,2.0,2.0,2.0,2.0,3.0,3.0,43.75,43.75,16.0,7.0,16.0,7.0
Netherlands,Birds,10.0,10.0,10.0,10.0,21.0,21.0,24.4,24.4,168.0,41.0,168.0,41.0
Netherlands,Fish,4.0,4.0,5.0,5.0,14.0,14.0,23.711,23.711,97.0,23.0,97.0,23.0
Netherlands,Freshwater Fish,1.0,1.0,2.0,2.0,10.0,10.0,32.5,32.5,40.0,13.0,40.0,13.0
Netherlands,Invertebrates,51.0,51.0,60.0,60.0,51.0,51.0,31.953,31.953,507.0,162.0,507.0,162.0
Netherlands,Lichens,49.0,49.0,42.0,42.0,65.0,65.0,22.84,22.84,683.0,156.0,683.0,156.0
Netherlands,Mammals,2.0,2.0,3.0,3.0,6.0,6.0,20.755,20.755,53.0,11.0,53.0,11.0
Netherlands,Marine Fish,3.0,3.0,3.0,3.0,4.0,4.0,17.544,17.544,57.0,10.0,57.0,10.0
Netherlands,Mosses,52.0,52.0,27.0,27.0,43.0,43.0,23.598,23.598,517.0,122.0,517.0,122.0
Netherlands,Reptiles,1.0,1.0,0.0,0.0,4.0,4.0,71.429,71.429,7.0,5.0,7.0,5.0
Netherlands,Vascular plants,71.0,71.0,117.0,117.0,168.0,168.0,25.52,25.52,1395.0,356.0,1395.0,356.0
New Zealand,Amphibians,0.0,,0.0,,1.0,,25.0,,4.0,1.0,8.0,
New Zealand,Birds,20.0,,13.0,,32.0,,29.954,,217.0,65.0,254.0,
New Zealand,Fish,4.0,,6.0,,12.0,,8.527,,258.0,22.0,289.0,
New Zealand,Freshwater Fish,4.0,,6.0,,12.0,,40.741,,54.0,22.0,75.0,
New Zealand,Invertebrates,133.0,133.0,62.0,62.0,71.0,71.0,0.866,0.806,30700.0,266.0,33000.0,266.0
New Zealand,Lichens,6.0,6.0,2.0,2.0,8.0,8.0,0.79,,2026.0,16.0,,16.0
New Zealand,Mammals,6.0,,2.0,,2.0,,27.027,,37.0,10.0,65.0,
New Zealand,Marine Fish,,,,,,,,,204.0,,214.0,
New Zealand,Mosses,14.0,14.0,4.0,4.0,2.0,2.0,3.81,,525.0,20.0,,20.0
New Zealand,Reptiles,8.0,,8.0,,21.0,,34.906,,106.0,37.0,107.0,
New Zealand,Vascular plants,163.0,,64.0,,101.0,,13.199,,2485.0,328.0,5038.0,
